Time,IP_Address,API_Call
00:00:01,175:144:22:6,Often5
00:00:02,172:144:0:28,Sometimes1
00:00:03,172:144:0:31,Often1
00:00:04,172:144:0:30,Often4
00:00:05,172:144:0:35,Sometimes1
00:00:06,172:144:0:25,Regularly3
00:00:07,172:144:0:31,Often7
00:00:08,172:144:0:28,Rarely
00:00:09,172:144:0:25,Sometimes1
00:00:10,172:144:0:34,Often3
00:00:11,172:144:0:24,Often8
00:00:12,172:144:0:35,Often7
00:00:13,172:144:0:35,Rarely
00:00:14,172:144:0:34,Often7
00:00:15,172:144:0:31,Often2
00:00:16,172:144:0:27,Often4
00:00:17,172:144:0:35,Often7
00:00:18,172:144:0:25,Regularly1
00:00:19,172:144:0:34,Often7
00:00:20,172:144:0:26,Regularly1
00:00:21,172:144:0:25,Often5
00:00:22,172:144:0:36,Often3
00:00:23,172:144:0:37,Rarely
00:00:24,172:144:0:37,Often4
00:00:25,172:144:0:37,Often8
00:00:26,172:144:0:27,Regularly3
00:00:27,172:144:0:24,Rarely
00:00:28,172:144:0:34,Rarely
00:00:29,172:144:0:30,Often2
00:00:30,172:144:0:31,Sometimes2
00:00:31,172:144:0:31,Often2
00:00:32,172:144:0:36,Often6
00:00:33,172:144:0:31,Often2
00:00:34,172:144:0:23,Often5
00:00:35,172:144:0:31,Sometimes1
00:00:36,172:144:0:35,Often5
00:00:37,172:144:0:24,Sometimes1
00:00:38,172:144:0:36,Often2
00:00:39,172:144:0:27,Often5
00:00:40,172:144:0:30,Often1
00:00:41,172:144:0:26,Sometimes1
00:00:42,172:144:0:31,Sometimes2
00:00:43,172:144:0:25,Often2
00:00:44,172:144:0:37,Regularly1
00:00:45,172:144:0:24,Often5
00:00:46,172:144:0:26,Often1
00:00:47,172:144:0:31,Rarely
00:00:48,172:144:0:33,Often5
00:00:49,172:144:0:30,Regularly2
00:00:50,172:144:0:23,Often3
00:00:51,172:144:0:30,Rarely
00:00:52,172:144:0:28,Often5
00:00:53,172:144:0:31,Sometimes1
00:00:54,172:144:0:26,Often3
