Time,IP_Address,API_Call
00:00:01,175:144:22:7,Regularly2
00:00:02,172:144:0:33,Often3
00:00:03,172:144:0:26,Often1
00:00:04,172:144:0:35,Sometimes2
00:00:05,172:144:0:33,Often8
00:00:06,172:144:0:22,Often2
00:00:07,172:144:0:34,Rarely
00:00:08,172:144:0:29,Often2
00:00:09,175:144:22:3,Sometimes1
00:00:10,172:144:0:30,Often2
00:00:11,172:144:0:37,Often2
00:00:12,172:144:0:23,Often1
00:00:13,172:144:0:24,Often4
00:00:14,172:144:0:33,Often4
00:00:15,172:144:0:26,Often3
00:00:16,172:144:0:27,Often1
00:00:17,172:144:0:32,Regularly2
00:00:18,172:144:0:35,Sometimes2
00:00:19,172:144:0:35,Often7
00:00:20,172:144:0:28,Often4
00:00:21,175:144:22:7,Rarely
00:00:22,172:144:0:37,Often6
00:00:23,172:144:0:27,Often2
00:00:24,172:144:0:27,Often6
00:00:25,175:144:22:7,Sometimes1
00:00:26,172:144:0:31,Often4
00:00:27,172:144:0:35,Regularly1
00:00:28,172:144:0:27,Sometimes1
00:00:29,172:144:0:28,Often6
00:00:30,172:144:0:29,Sometimes2
00:00:31,172:144:0:36,Often8
00:00:32,172:144:0:29,Often4
00:00:33,172:144:0:34,Often3
00:00:34,172:144:0:28,Often3
00:00:35,172:144:0:26,Sometimes1
00:00:36,172:144:0:22,Rarely
00:00:37,172:144:0:24,Regularly3
00:00:38,172:144:0:26,Often1
00:00:39,172:144:0:25,Often3
00:00:40,172:144:0:34,Often6
00:00:41,172:144:0:22,Often3
00:00:42,172:144:0:36,Sometimes2
00:00:43,175:144:22:6,Rarely
00:00:44,172:144:0:26,Sometimes2
00:00:45,175:144:22:7,Sometimes2
00:00:46,172:144:0:32,Often6
00:00:47,172:144:0:33,Often5
00:00:48,172:144:0:26,Regularly2
00:00:49,172:144:0:30,Sometimes1
00:00:50,172:144:0:24,Rarely
00:00:51,172:144:0:28,Often5
00:00:52,172:144:0:32,Regularly1
00:00:53,172:144:0:33,Regularly3
00:00:54,175:144:22:3,Regularly2
00:00:55,172:144:0:30,Often5
00:00:56,172:144:0:29,Sometimes1
00:00:57,172:144:0:23,Often8
00:00:58,172:144:0:27,Regularly3
00:00:59,172:144:0:30,Often6
00:01:00,172:144:0:35,Regularly3
00:01:01,172:144:0:37,Often5
00:01:02,172:144:0:37,Often5
00:01:03,172:144:0:25,Regularly2
00:01:04,172:144:0:25,Often3
00:01:05,172:144:0:28,Often2
00:01:06,172:144:0:30,Sometimes1
00:01:07,172:144:0:31,Often4
00:01:08,172:144:0:30,Often7
00:01:09,172:144:0:27,Often8
00:01:10,172:144:0:32,Often8
00:01:11,172:144:0:28,Often3
00:01:12,172:144:0:32,Sometimes1
00:01:13,172:144:0:29,Often2
00:01:14,172:144:0:26,Often6
00:01:15,175:144:22:6,Rarely
00:01:16,172:144:0:28,Sometimes2
00:01:17,172:144:0:31,Regularly2
00:01:18,172:144:0:35,Often3
00:01:19,172:144:0:26,Sometimes1
00:01:20,172:144:0:33,Often3
00:01:21,172:144:0:28,Often4
00:01:22,172:144:0:29,Regularly2
00:01:23,172:144:0:28,Often7
00:01:24,175:144:22:2,Rarely
00:01:25,172:144:0:37,Often5
00:01:26,172:144:0:26,Often1
00:01:27,172:144:0:32,Sometimes2
